Month,Call of Duty: (United States)
2004-01,24
2004-02,19
2004-03,16
2004-04,13
2004-05,13
2004-06,13
2004-07,12
2004-08,12
2004-09,16
2004-10,12
2004-11,17
2004-12,23
2005-01,17
2005-02,11
2005-03,11
2005-04,8
2005-05,9
2005-06,8
2005-07,8
2005-08,7
2005-09,9
2005-10,14
2005-11,28
2005-12,27
2006-01,18
2006-02,13
2006-03,10
2006-04,10
2006-05,9
2006-06,10
2006-07,10
2006-08,9
2006-09,8
2006-10,10
2006-11,19
2006-12,16
2007-01,11
2007-02,9
2007-03,7
2007-04,8
2007-05,10
2007-06,9
2007-07,11
2007-08,12
2007-09,13
2007-10,14
2007-11,60
2007-12,49
2008-01,42
2008-02,38
2008-03,35
2008-04,31
2008-05,21
2008-06,31
2008-07,24
2008-08,21
2008-09,22
2008-10,29
2008-11,57
2008-12,43
2009-01,39
2009-02,33
2009-03,32
2009-04,26
2009-05,29
2009-06,27
2009-07,28
2009-08,30
2009-09,27
2009-10,28
2009-11,78
2009-12,53
2010-01,40
2010-02,34
2010-03,30
2010-04,26
2010-05,41
2010-06,30
2010-07,26
2010-08,28
2010-09,30
2010-10,34
2010-11,100
2010-12,52
2011-01,47
2011-02,41
2011-03,31
2011-04,33
2011-05,39
2011-06,37
2011-07,33
2011-08,32
2011-09,28
2011-10,27
2011-11,66
2011-12,37
2012-01,30
2012-02,25
2012-03,23
2012-04,24
2012-05,26
2012-06,22
2012-07,22
2012-08,21
2012-09,18
2012-10,20
2012-11,51
2012-12,31
2013-01,26
2013-02,22
2013-03,18
2013-04,21
2013-05,33
2013-06,23
2013-07,23
2013-08,27
2013-09,21
2013-10,25
2013-11,71
2013-12,37
2014-01,29
2014-02,23
2014-03,21
2014-04,19
2014-05,26
2014-06,19
2014-07,19
2014-08,21
2014-09,16
2014-10,20
2014-11,55
2014-12,31
2015-01,24
2015-02,20
2015-03,18
2015-04,21
2015-05,17
2015-06,17
2015-07,19
2015-08,21
2015-09,14
2015-10,15
2015-11,38
2015-12,28
2016-01,20
2016-02,19
2016-03,18
2016-04,18
2016-05,23
2016-06,16
2016-07,14
2016-08,13
2016-09,15
2016-10,18
2016-11,28
2016-12,21
2017-01,14
2017-02,13
2017-03,12
2017-04,20
2017-05,15
2017-06,14
2017-07,14
2017-08,16
2017-09,12
2017-10,15
2017-11,52
2017-12,26
2018-01,16
2018-02,13
2018-03,12
2018-04,10
2018-05,11
2018-06,10
2018-07,9
2018-08,11
2018-09,14
2018-10,23
2018-11,15
2018-12,15
2019-01,12
2019-02,9
2019-03,10
2019-04,8
2019-05,12
2019-06,12
2019-07,10
2019-08,14
2019-09,19
2019-10,45
2019-11,33
2019-12,27
2020-01,20
2020-02,19
2020-03,32
2020-04,36
2020-05,29
2020-06,26
2020-07,20
2020-08,30
2020-09,25
2020-10,23
2020-11,38
2020-12,30
2021-01,20
2021-02,22
2021-03,18
2021-04,17
2021-05,15
2021-06,14
2021-07,15
2021-08,19
2021-09,15
2021-10,15
2021-11,24
2021-12,18
2022-01,16
2022-02,14
2022-03,13
2022-04,13
2022-05,14
2022-06,15
2022-07,14
2022-08,15
2022-09,18
2022-10,13
